Current,REG0,REG1,REG2,REG3,REG4,REG5,REG6
1.24,255,1,255,20,195,47,95,
1.24,0,1,0,24,19,33,94,
1.24,255,1,255,28,241,46,95,
1.24,255,1,255,16,213,47,95,
1.24,0,1,255,20,19,47,95,
1.24,255,1,0,24,213,33,96,
1.24,255,1,0,28,230,32,96,
1.24,255,1,0,16,244,32,95,
1.24,0,1,0,20,3,32,96,
1.339,255,1,255,16,247,46,96,
1.339,255,1,255,20,229,46,95,
1.339,0,1,0,24,4,32,95,
1.339,255,1,255,28,213,47,95,
1.339,255,1,0,16,230,32,95,
1.339,255,1,255,20,231,47,96,
1.339,255,1,0,24,214,32,95,
1.339,0,1,0,28,3,32,94,
1.339,255,1,0,16,148,33,96,
1.339,255,1,0,20,182,32,95,
1.339,255,1,255,24,213,47,94,
1.339,255,1,255,28,230,47,95,
1.339,0,1,0,16,23,32,96,
1.339,255,1,0,20,217,33,95,
1.339,255,1,255,24,248,46,95,
1.339,255,1,255,28,230,47,96,
1.339,255,1,0,16,230,32,95,
1.339,0,1,255,20,3,47,95,
1.339,255,1,0,24,246,32,96,
1.339,255,1,255,28,229,46,96,
1.339,255,1,255,16,244,47,95,
1.339,255,1,255,20,227,47,95,
1.339,0,1,0,24,5,32,96,
1.339,255,1,0,28,226,32,95,
1.339,255,1,0,16,247,32,95,
1.339,255,1,0,20,245,32,95,
1.339,255,1,0,24,228,33,95,
